Site,Date,ID,Wind.speed,Direction,Temp,Sunshine,Time,Species,Common.name,Caste,Number,Forage plant,ITD,Hive.Distance,Hive.Density,Buildings,Bee.habitat,FloralUnits.Site,Rail,Total.Water,Building.Vol,ITD.error,Pollen,Pollen sample
Leon,05/06/2021,20210605_LeonMRR_Buff_013,3,S,25,S,14:20:00,Bombus terrestris,Buff tail,W,1,Symphytum ,6.317461904,770,1,39.03,9.84,2450,1.33,0,9,3.079571631,N,N
Christ,28/05/2021,20210528_Christ_Buff_003,3,NE,21,C,14:33:00,Bombus terrestris,Buff tail,W,1,Nepeta,6.384441144,345,7,49.59,4.39,8707,0.43,11.93,19,2.476550092,N,N
Christ,08/06/2021,20210608_ChristMRR_Buff_005,3,SW,24,S,14:06:00,Bombus terrestris,Buff tail,W,1,Nepeta,6.488628921,345,7,49.59,4.39,8707,0.43,11.93,19,6.781531407,N,N
BG,23/06/2021,20210623_BG_Buff_012,0,,32,S,12:20:00,Bombus terrestris,Buff tail,W,1,Lavender,6.517826866,300,1,21.53,17.83,6024,2.79,6.61,4,1.511064655,N,N
MEA,09/06/2021,20210609_MEAMRR_Buff_012,5,SW,26,S,10:16:00,Bombus terrestris,Buff tail,W,1,Teucrium fruticans ,6.527596838,850,1,26.97,19.29,2038,1.31,2.17,5,5.818413571,N,N
Christ,08/06/2021,20210608_ChristMRR_Buff_017,3,SW,24,S,14:06:00,Bombus terrestris,Buff tail,W,1,Nepeta,6.60987747,345,7,49.59,4.39,8707,0.43,11.93,19,4.739106036,N,N
Bunhill,08/06/2021,20210608_Bunhill_Buff_004,3,SW,22,S,10:20:00,Bombus terrestris,Buff tail,W,1,Geranium,6.636382137,535,2,45.37,8.43,1754,0.26,0.52,15,7.627822025,N,N
Christ,28/05/2021,20210528_Christ_Buff_004,3,NE,21,C,14:33:00,Bombus terrestris,Buff tail,W,1,Nepeta,6.637291302,345,7,49.59,4.39,8707,0.43,11.93,19,4.863433487,N,N
Leon,05/06/2021,20210605_LeonMRR_Buff_001,3,S,25,S,14:20:00,Bombus terrestris,Buff tail,W,1,Symphytum ,6.787121706,770,1,39.03,9.84,2450,1.33,0,9,2.329616144,N,N
Leon,05/06/2021,20210605_LeonMRR_Buff_007,3,S,25,S,14:20:00,Bombus terrestris,Buff tail,W,1,Symphytum ,6.817917822,770,1,39.03,9.84,2450,1.33,0,9,2.319093411,N,N
Leon,05/06/2021,20210605_LeonMRR_Buff_031,3,S,25,S,14:20:00,Bombus terrestris,Buff tail,W,1,Nepeta,6.917782617,770,1,39.03,9.84,2450,1.33,0,9,2.612009079,N,N
Leon,05/06/2021,20210605_LeonMRR_Buff_026,3,S,25,S,14:20:00,Bombus terrestris,Buff tail,W,1,Nepeta,7.006271059,770,1,39.03,9.84,2450,1.33,0,9,4.587919316,N,N
Leon,05/06/2021,20210605_LeonMRR_Buff_033,3,S,25,S,14:20:00,Bombus terrestris,Buff tail,W,1,Centranthus ruber,7.157873348,770,1,39.03,9.84,2450,1.33,0,9,6.179141888,N,N
Leon,05/06/2021,20210605_LeonMRR_Buff_021,3,S,25,S,14:20:00,Bombus terrestris,Buff tail,W,1,Phlomis russeliana,7.164926305,770,1,39.03,9.84,2450,1.33,0,9,1.342329512,N,N
Leon,05/06/2021,20210605_LeonMRR_Buff_023,3,S,25,S,14:20:00,Bombus terrestris,Buff tail,W,1,Nepeta,7.352557328,770,1,39.03,9.84,2450,1.33,0,9,1.368545045,N,N
Christ,31/05/2021,20210531_Christ_Vestal_010,5,SW,22,S,14:55:00,Bombus vestalis,Vestal cuckoo,F,1,Nepeta,4.094329626,345,7,49.59,4.39,8707,0.43,11.93,19,9.987753112,NA,N
Leon,22/06/2021,20210622_Leon_Buff_008,2,E,19,C,14:57:00,Bombus vestalis,Vestal cuckoo,F,1,Nepeta,5.804521948,770,1,39.03,9.84,2450,1.33,0,9,2.723977692,N,N
