Site,Date,ID,Wind.speed,Direction,Temp,Sunshine,Time,Species,Common.name,Caste,Number,Forage plant,ITD,Hive.Distance,Hive.Density,Buildings,Bee.habitat,FloralUnits.Site,Rail,Total.Water,Building.Vol,ITD.error,Pollen,Pollen sample
Christ,31/05/2021,20210531_Christ_Buff_007,5,SW,22,S,14:55:00,Bombus terrestris,Buff tail,W,1,Nepeta,4.122452153,345,7,49.59,4.39,8707,0.43,11.93,19,3.337046976,N,N
Bunhill,08/06/2021,20210608_Bunhill_Buff_002,3,SW,22,S,10:20:00,Bombus terrestris,Buff tail,W,1,Geranium,4.145547786,535,2,45.37,8.43,1754,0.26,0.52,15,3.848238389,N,N
Leon,22/06/2021,20210622_Leon_Buff_014,2,E,19,C,14:57:00,Bombus terrestris,Buff tail,W,1,Nepeta,4.176057519,770,1,39.03,9.84,2450,1.33,0,9,1.523916038,N,N
Leon,05/06/2021,20210605_LeonMRR_Buff_024,3,S,25,S,14:20:00,Bombus terrestris,Buff tail,W,1,Nepeta,4.248250186,770,1,39.03,9.84,2450,1.33,0,9,7.912780829,N,N
MEA,30/06/2021,20210630_MEA_Buff_002,3,NW,18,C,13:01:00,Bombus terrestris,Buff tail,W,1,Rose,4.289339009,850,1,26.97,19.29,2038,1.31,2.17,5,3.207211289,Y,N
OPMead,05/07/2021,20210705_OP_Buff_021,3,SE,23,S,10:18:00,Bombus terrestris,Buff tail,W,1,Veronica spicata,4.292354461,530,1,24.47,18.18,2494,6.03,6.64,7,2.344239273,N,N
OPMead,05/07/2021,20210705_OP_Buff_004,3,SE,23,S,10:18:00,Bombus terrestris,Buff tail,W,1,Veronica spicata,4.302256716,530,1,24.47,18.18,2494,6.03,6.64,7,5.160920134,N,N
MEA,09/06/2021,20210609_MEAMRR_Buff_019,5,SW,26,S,10:16:00,Bombus terrestris,Buff tail,W,1,Teucrium fruticans ,4.322992251,850,1,26.97,19.29,2038,1.31,2.17,5,2.863622622,N,N
OPMead,05/07/2021,20210705_OP_Buff_001,3,SE,23,S,10:18:00,Bombus terrestris,Buff tail,W,1,Veronica spicata,4.338540354,530,1,24.47,18.18,2494,6.03,6.64,7,3.644402728,N,N
MEA,09/06/2021,20210609_MEAMRR_Buff_028,5,SW,26,S,10:16:00,Bombus terrestris,Buff tail,W,1,Teucrium fruticans ,4.379158103,850,1,26.97,19.29,2038,1.31,2.17,5,6.419358455,N,N
Bank,26/05/2021,20210526_OPBank_Buff_005,12,NE,22,S,12:55:00,Bombus terrestris,Buff tail,W,1,Eschscholzia californica,4.379786809,535,2,31.19,19.93,2008,3.35,6.61,10,4.236273619,Y,Y
BG,23/06/2021,20210623_BG_Buff_015,0,,32,S,12:20:00,Bombus terrestris,Buff tail,W,1,Lavender,4.392978469,300,1,21.53,17.83,6024,2.79,6.61,4,4.479573208,N,N
Bank,23/06/2021,20210623_OPBank_Buff_002,6,E,33,S,10:04:00,Bombus terrestris,Buff tail,W,1,Eschscholzia californica,4.40443281,535,2,31.19,19.93,2008,3.35,6.61,10,3.683784369,Y,N
BG,23/06/2021,20210623_BG_Buff_001,0,,32,S,12:20:00,Bombus terrestris,Buff tail,W,1,Lavender,4.419200306,300,1,21.53,17.83,6024,2.79,6.61,4,5.059892792,N,N
Bank,26/05/2021,20210526_OPBank_Buff_003,12,NE,22,S,12:55:00,Bombus terrestris,Buff tail,W,1,Eschscholzia californica,4.4244667,535,2,31.19,19.93,2008,3.35,6.61,10,5.775580745,Y,Y
MEA,09/06/2021,20210609_MEAMRR_Buff_017,5,SW,26,S,10:16:00,Bombus terrestris,Buff tail,W,1,Teucrium fruticans ,4.446783023,850,1,26.97,19.29,2038,1.31,2.17,5,4.993183431,N,N
OPMead,29/06/2021,20210629_OP_Buff_008,4,N,26,C,10:54:00,Bombus terrestris,Buff tail,W,1,Veronica spicata,4.451094564,530,1,24.47,18.18,2494,6.03,6.64,7,4.421085279,N,N
BG,26/04/2021,20210426_BG_Buff_001,3,NE,17,S,12:10:00,Bombus terrestris,Buff tail,W,1,Camassia,4.453229479,300,1,21.53,17.83,6024,2.79,6.61,4,2.699347819,Y,Y
BG,26/04/2021,20210426_BG_Buff_002,3,NE,17,S,12:10:00,Bombus terrestris,Buff tail,W,1,Camassia,4.458391304,300,1,21.53,17.83,6024,2.79,6.61,4,4.203683242,N,N
Christ,08/06/2021,20210608_ChristMRR_Buff_003,3,SW,24,S,14:06:00,Bombus terrestris,Buff tail,W,1,Nepeta,4.488865613,345,7,49.59,4.39,8707,0.43,11.93,19,7.930390013,N,N
MEA,26/05/2021,20210526_MEA_Buff_003,3,NE,18,C,15:15:00,Bombus terrestris,Buff tail,W,1,Allium,4.518526105,850,1,26.97,19.29,2038,1.31,2.17,5,6.221361775,Y,Y
Leon,22/06/2021,20210622_Leon_Buff_010,2,E,19,C,14:57:00,Bombus terrestris,Buff tail,W,1,Nepeta,4.525773113,770,1,39.03,9.84,2450,1.33,0,9,15.81732254,N,N
OPMead,22/06/2021,20210622_OP_Buff_007,3,E,23,S,11:06:00,Bombus terrestris,Buff tail,W,1,Scabious,4.528095238,530,1,24.47,18.18,2494,6.03,6.64,7,1.329653413,N,N
Bank,29/06/2021,20210629_Bank_Buff_006,4,N,23,C,13:05:00,Bombus terrestris,Buff tail,W,1,Eschscholzia californica,4.533690326,535,2,31.19,19.93,2008,3.35,6.61,10,5.614817575,Y,N
MEA,09/06/2021,20210609_MEAMRR_Buff_026,5,SW,26,S,10:16:00,Bombus terrestris,Buff tail,W,1,Teucrium fruticans ,4.546398694,850,1,26.97,19.29,2038,1.31,2.17,5,2.722906466,N,N
OPMead,05/07/2021,20210705_OP_Buff_023,3,SE,23,S,10:18:00,Bombus terrestris,Buff tail,W,1,Veronica spicata,4.547329471,530,1,24.47,18.18,2494,6.03,6.64,7,2.165855336,Y,N
MEA,09/06/2021,20210609_MEAMRR_Buff_023,5,SW,26,S,10:16:00,Bombus terrestris,Buff tail,W,1,Teucrium fruticans ,4.584324324,850,1,26.97,19.29,2038,1.31,2.17,5,2.194937615,N,N
Bank,29/06/2021,20210629_Bank_Buff_001,4,N,23,C,13:05:00,Bombus terrestris,Buff tail,W,1,Echium vulgare,4.608587202,535,2,31.19,19.93,2008,3.35,6.61,10,4.730349758,Y,N
OPMead,22/06/2021,20210622_OP_Buff_004,3,E,23,S,11:06:00,Bombus terrestris,Buff tail,W,1,Valeriana officinalis,4.614835076,530,1,24.47,18.18,2494,6.03,6.64,7,1.991921272,N,N
Christ,08/06/2021,20210608_ChristMRR_Buff_004,3,SW,24,S,14:06:00,Bombus terrestris,Buff tail,W,1,Nepeta,4.618433759,345,7,49.59,4.39,8707,0.43,11.93,19,6.171872786,N,N
MEA,26/05/2021,20210526_MEA_Buff_006,3,NE,18,C,15:15:00,Bombus terrestris,Buff tail,W,1,Teucrium fructicans,4.634958323,850,1,26.97,19.29,2038,1.31,2.17,5,2.07503312,N,N
MEA,09/06/2021,20210609_MEAMRR_Buff_004,5,SW,26,S,10:16:00,Bombus terrestris,Buff tail,W,1,Teucrium fruticans ,4.674522503,850,1,26.97,19.29,2038,1.31,2.17,5,5.558979105,N,N
OPMead,05/07/2021,20210705_OP_Buff_018,3,SE,23,S,10:18:00,Bombus terrestris,Buff tail,W,1,Veronica spicata,4.726565217,530,1,24.47,18.18,2494,6.03,6.64,7,2.619115115,N,N
Leon,27/05/2021,20210527_Leon_Buff_002,4,NE,22,S,10:50:00,Bombus terrestris,Buff tail,W,1,Symphytum officinale,4.726643357,770,1,39.03,9.84,2450,1.33,0,9,3.345162118,N,N
Bank,26/05/2021,20210526_OPBank_Buff_004,12,NE,22,S,12:55:00,Bombus terrestris,Buff tail,W,1,Eschscholzia californica,4.726675069,535,2,31.19,19.93,2008,3.35,6.61,10,1.346392747,Y,Y
MEA,09/06/2021,20210609_MEAMRR_Buff_025,5,SW,26,S,10:16:00,Bombus terrestris,Buff tail,W,1,Teucrium fruticans ,4.737140607,850,1,26.97,19.29,2038,1.31,2.17,5,5.017737623,N,N
Bank,23/06/2021,20210623_OPBank_Buff_010,6,E,33,S,10:04:00,Bombus terrestris,Buff tail,W,1,Eschscholzia californica,4.738162402,535,2,31.19,19.93,2008,3.35,6.61,10,4.600988212,Y,N
Christ,08/06/2021,20210608_ChristMRR_Buff_011,3,SW,24,S,14:06:00,Bombus terrestris,Buff tail,W,1,Nepeta,4.746487766,345,7,49.59,4.39,8707,0.43,11.93,19,7.40840463,N,N
Bank,23/06/2021,20210623_OPBank_Buff_008,6,E,33,S,10:04:00,Bombus terrestris,Buff tail,W,1,Eschscholzia californica,4.750031612,535,2,31.19,19.93,2008,3.35,6.61,10,3.804040157,Y,Y
MEA,09/06/2021,20210609_MEAMRR_Buff_005,5,SW,26,S,10:16:00,Bombus terrestris,Buff tail,W,1,Teucrium fruticans ,4.770963903,850,1,26.97,19.29,2038,1.31,2.17,5,8.468772458,N,N
OPMead,05/07/2021,20210705_OP_Buff_019,3,SE,23,S,10:18:00,Bombus terrestris,Buff tail,W,1,Veronica spicata,4.781418972,530,1,24.47,18.18,2494,6.03,6.64,7,3.919686796,Y,N
BG,23/06/2021,20210623_BG_Buff_002,0,,32,S,12:20:00,Bombus terrestris,Buff tail,W,1,Lavender,4.823361244,300,1,21.53,17.83,6024,2.79,6.61,4,2.852122368,N,N
Bank,29/06/2021,20210629_Bank_Buff_005,4,N,23,C,13:05:00,Bombus terrestris,Buff tail,W,1,Eschscholzia californica,4.829849775,535,2,31.19,19.93,2008,3.35,6.61,10,5.794508162,Y,N
BG,30/06/2021,20210630_BG_Buff_013,4,NW,18,C,10:34:00,Bombus terrestris,Buff tail,W,1,Symphytum,4.84138924,300,1,21.53,17.83,6024,2.79,6.61,4,2.078392255,N,N
BG,30/06/2021,20210630_BG_Buff_004,4,NW,18,C,10:34:00,Bombus terrestris,Buff tail,W,1,Lavender,4.850495348,300,1,21.53,17.83,6024,2.79,6.61,4,2.836167341,N,N
Leon,05/06/2021,20210605_LeonMRR_Buff_005,3,S,25,S,14:20:00,Bombus terrestris,Buff tail,W,1,Symphytum ,4.872318478,770,1,39.03,9.84,2450,1.33,0,9,2.113086447,N,N
BG,30/06/2021,20210630_BG_Buff_005,4,NW,18,C,10:34:00,Bombus terrestris,Buff tail,W,1,Lavender,4.879452949,300,1,21.53,17.83,6024,2.79,6.61,4,3.802470382,N,N
BG,23/06/2021,20210623_BG_Buff_003,0,,32,S,12:20:00,Bombus terrestris,Buff tail,W,1,Lavender,4.885756853,300,1,21.53,17.83,6024,2.79,6.61,4,3.179082593,N,N
MEA,09/06/2021,20210609_MEAMRR_Buff_016,5,SW,26,S,10:16:00,Bombus terrestris,Buff tail,W,1,Teucrium fruticans ,4.896788755,850,1,26.97,19.29,2038,1.31,2.17,5,3.973027515,N,N
MEA,09/06/2021,20210609_MEAMRR_Buff_013,5,SW,26,S,10:16:00,Bombus terrestris,Buff tail,W,1,Teucrium fruticans ,4.899841616,850,1,26.97,19.29,2038,1.31,2.17,5,5.123590187,N,N
Leon,05/06/2021,20210605_LeonMRR_Buff_011,3,S,25,S,14:20:00,Bombus terrestris,Buff tail,W,1,Symphytum ,4.906014925,770,1,39.03,9.84,2450,1.33,0,9,3.659043713,N,N
MEA,26/05/2021,20210526_MEA_Buff_002,3,NE,18,C,15:15:00,Bombus terrestris,Buff tail,W,1,Allium,4.914278545,850,1,26.97,19.29,2038,1.31,2.17,5,1.29499396,N,N
Christ,08/06/2021,20210608_ChristMRR_Buff_006,3,SW,24,S,14:06:00,Bombus terrestris,Buff tail,W,1,Nepeta,4.937695459,345,7,49.59,4.39,8707,0.43,11.93,19,5.175261393,N,N
BG,30/06/2021,20210630_BG_Buff_007,4,NW,18,C,10:34:00,Bombus terrestris,Buff tail,W,1,Symphytum,4.94655216,300,1,21.53,17.83,6024,2.79,6.61,4,1.286544815,Y,Y
BG,30/06/2021,20210630_BG_Buff_006,4,NW,18,C,10:34:00,Bombus terrestris,Buff tail,W,1,Lavender,4.949104141,300,1,21.53,17.83,6024,2.79,6.61,4,3.138391136,N,N
Beech,31/05/2021,20210531_Beech_Buff_004,4,SW,25,S,15:40:00,Bombus terrestris,Buff tail,W,1,Nepeta,4.960579135,320,5,55.29,8.4,2280,0.26,0.52,19,1.282906866,Y,Y
MEA,09/06/2021,20210609_MEAMRR_Buff_006,5,SW,26,S,10:16:00,Bombus terrestris,Buff tail,W,1,Teucrium fruticans ,4.960579135,850,1,26.97,19.29,2038,1.31,2.17,5,3.921936517,N,N
MEA,09/06/2021,20210609_MEAMRR_Buff_002,5,SW,26,S,10:16:00,Bombus terrestris,Buff tail,W,1,Cordyline,4.96457684,850,1,26.97,19.29,2038,1.31,2.17,5,2.073818268,Y,N
OPMead,05/07/2021,20210705_OP_Buff_020,3,SE,23,S,10:18:00,Bombus terrestris,Buff tail,W,1,Veronica spicata,4.966485888,530,1,24.47,18.18,2494,6.03,6.64,7,3.91727207,Y,N
