Location,Site,Date,Method,Visit,Wind.speed,Wind.direction,Temp,Sunshine,Time,Species,Species.1,Common.name,Caste,Number,Forage.plant,Pollen,ID,ITD,Hive.Distance,Hive.Density,Buildings,Impervious,Bee.habitat,Floral.Units,Ex.Nests.BeeHabitat,Rail,Total.Water,Building.Vol,ITD.error
East,Bank,29/06/2021,Transect,3,4,N,23,C,13:05:00,Bombus vestalis,Vestal,Vestal cuckoo,NA,1,Eschscholzia californica,Y,20210629_Bank_Vestal_005,4.829849775,480,1,31.19,37.06,19.93,2008,14,3.35,6.61,10,5.794508162
City,Beech,31/05/2021,Transect,3,4,SW,25,S,15:40:00,Bombus terrestris,Buff,Buff tail,W,1,Thyme,N,20210531_Beech_Buff_001,5.560348767,320,5,55.29,33.38,8.4,2280,6,0.26,0.52,19,4.038507747
City,Beech,31/05/2021,Transect,3,4,SW,25,S,15:40:00,Bombus terrestris,Buff,Buff tail,W,1,Thyme,N,20210531_Beech_Buff_002,5.5927142,320,5,55.29,33.38,8.4,2280,6,0.26,0.52,19,2.275804128
City,Beech,31/05/2021,Transect,3,4,SW,25,S,15:40:00,Bombus terrestris,Buff,Buff tail,W,1,Thyme,N,20210531_Beech_Buff_003,5.26329532,320,5,55.29,33.38,8.4,2280,6,0.26,0.52,19,3.004085338
City,Beech,31/05/2021,Transect,3,4,SW,25,S,15:40:00,Bombus terrestris,Buff,Buff tail,W,1,Nepeta,Y,20210531_Beech_Buff_004,4.960579135,320,5,55.29,33.38,8.4,2280,6,0.26,0.52,19,1.282906866
City,Beech,28/05/2021,Transect,2,0,NA,22,S,09:20:00,Bombus terrestris,Buff,Buff tail,W,1,Geranium,NA,NA,NA,320,5,55.29,33.38,8.4,2280,6,0.26,0.52,19,NA
City,Beech,28/05/2021,Transect,2,0,NA,22,S,09:20:00,Bombus terrestris,Buff,Buff tail,W,1,Thyme,Y,NA,NA,320,5,55.29,33.38,8.4,2280,6,0.26,0.52,19,NA
City,Beech,08/06/2021,Transect,4,1,SW,25,S,16:52:00,Bombus terrestris,Buff,Buff tail,W,23,Nepeta,NA,NA,NA,320,5,55.29,33.38,8.4,2280,6,0.26,0.52,19,NA
City,Beech,08/06/2021,Transect,4,1,SW,25,S,16:52:00,Bombus terrestris,Buff,Buff tail,W,1,Philadephus,NA,NA,NA,320,5,55.29,33.38,8.4,2280,6,0.26,0.52,19,NA
City,Beech,09/06/2021,Transect,5,3,SW,24,S,16:46:00,Bombus terrestris,Buff,Buff tail,W,12,Nepeta,NA,NA,NA,320,5,55.29,33.38,8.4,2280,6,0.26,0.52,19,NA
City,Beech,09/06/2021,Transect,5,3,SW,24,S,16:46:00,Bombus terrestris,Buff,Buff tail,W,2,Salvia,NA,NA,NA,320,5,55.29,33.38,8.4,2280,6,0.26,0.52,19,NA
City,Beech,01/07/2021,Transect,6,3,SW,22,C,14:27:00,Bombus terrestris,Buff,Buff tail,W,2,Scabious,NA,NA,NA,320,5,55.29,33.38,8.4,2280,6,0.26,0.52,19,NA
City,Beech,01/07/2021,Transect,6,3,SW,22,C,14:27:00,Bombus terrestris,Buff,Buff tail,W,1,Veronica spicata,NA,NA,NA,320,5,55.29,33.38,8.4,2280,6,0.26,0.52,19,NA
City,Beech,01/07/2021,Transect,6,3,SW,22,C,14:27:00,Bombus terrestris,Buff,Buff tail,W,1,Geranium,NA,NA,NA,320,5,55.29,33.38,8.4,2280,6,0.26,0.52,19,NA
City,Beech,01/07/2021,Transect,6,3,SW,22,C,14:27:00,Bombus terrestris,Buff,Buff tail,W,1,Nepeta,NA,NA,NA,320,5,55.29,33.38,8.4,2280,6,0.26,0.52,19,NA
City,Beech,08/06/2021,Transect,4,1,SW,25,S,16:52:00,Bombus pascuorum,Ccarder,Common carder,W,1,Salvia,NA,NA,NA,320,5,55.29,33.38,8.4,2280,6,0.26,0.52,19,NA
City,Beech,01/07/2021,Transect,6,3,SW,22,C,14:27:00,Bombus pascuorum,Ccarder,Common carder,W,1,Nepeta,NA,NA,NA,320,5,55.29,33.38,8.4,2280,6,0.26,0.52,19,NA
City,Beech,19/05/2021,Transect,1,3,SW,22,S,15:40:00,Anthophora plumipes,Solitary,Hairy footed flower bee,M,2,Thyme,N,NA,NA,320,5,55.29,33.38,8.4,2280,6,0.26,0.52,19,NA
City,Beech,19/05/2021,Transect,1,3,SW,22,S,15:40:00,Anthophora plumipes,Solitary,Hairy footed flower bee,M,1,Nepeta,N,NA,NA,320,5,55.29,33.38,8.4,2280,6,0.26,0.52,19,NA
City,Beech,19/05/2021,Transect,1,3,SW,22,S,15:40:00,Anthophora plumipes,Solitary,Hairy footed flower bee,F,5,Nepeta,Y,NA,NA,320,5,55.29,33.38,8.4,2280,6,0.26,0.52,19,NA
